edit_seed,group,role,concept,official_acc,superclass_acc,delta_acc,matched_acc,superclass_vs_matched_delta
20260823,boats,target,yawl,35.0,35.0,0.0,31.666666666666668,3.333333333333332
20260823,boats,target,lifeboat,3.3333333333333335,1.6666666666666667,-1.6666666666666667,6.666666666666667,-5.0
20260823,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,96.66666666666667,1.6666666666666572
20260823,boats,retain,catamaran,92.5,88.33333333333333,-4.166666666666671,91.66666666666667,-3.333333333333343
20260823,boats,retain,schooner,90.83333333333333,90.0,-0.8333333333333286,86.66666666666667,3.3333333333333286
20260823,balls,target,soccer ball,35.0,35.0,0.0,24.166666666666668,10.833333333333332
20260823,balls,target,volleyball,11.666666666666666,10.833333333333334,-0.8333333333333321,9.166666666666666,1.6666666666666679
20260823,balls,retain,tennis ball,19.166666666666668,20.833333333333332,1.6666666666666643,17.5,3.333333333333332
20260823,balls,retain,rugby ball,31.666666666666668,27.5,-4.166666666666668,32.5,-5.0
20260823,balls,retain,ping-pong ball,33.333333333333336,35.0,1.6666666666666643,30.0,5.0
20260824,dogs,target,golden retriever,12.5,13.333333333333334,0.8333333333333339,5.0,8.333333333333334
20260824,dogs,target,labrador retriever,18.333333333333332,20.0,1.6666666666666679,20.833333333333332,-0.8333333333333321
20260824,dogs,retain,german shepherd,46.666666666666664,45.0,-1.6666666666666643,51.666666666666664,-6.666666666666664
20260824,dogs,retain,chesapeake bay retriever,6.666666666666667,9.166666666666666,2.499999999999999,10.0,-0.8333333333333339
20260824,dogs,retain,pug,80.83333333333333,82.5,1.6666666666666714,80.83333333333333,1.6666666666666714
20260824,cats,target,tabby,12.5,12.5,0.0,9.166666666666666,3.333333333333334
20260824,cats,target,tiger cat,44.166666666666664,42.5,-1.6666666666666643,48.333333333333336,-5.833333333333336
20260824,cats,retain,persian cat,20.833333333333332,20.0,-0.8333333333333321,20.833333333333332,-0.8333333333333321
20260824,cats,retain,siamese cat,36.666666666666664,34.166666666666664,-2.5,42.5,-8.333333333333336
20260824,cats,retain,egyptian cat,0.0,0.0,0.0,0.0,0.0
20260824,fruits,target,orange,7.5,6.666666666666667,-0.833333333333333,5.0,1.666666666666667
20260824,fruits,target,lemon,10.0,10.0,0.0,10.0,0.0
20260824,fruits,retain,pomegranate,16.666666666666668,20.0,3.333333333333332,18.333333333333332,1.6666666666666679
20260824,fruits,retain,fig,15.0,15.0,0.0,15.0,0.0
20260824,fruits,retain,granny smith,20.833333333333332,22.5,1.6666666666666679,25.833333333333332,-3.333333333333332
20260824,boats,target,yawl,39.166666666666664,35.833333333333336,-3.3333333333333286,31.666666666666668,4.166666666666668
20260824,boats,target,lifeboat,5.0,3.3333333333333335,-1.6666666666666665,5.833333333333333,-2.4999999999999996
20260824,boats,retain,speedboat,98.33333333333333,97.5,-0.8333333333333286,97.5,0.0
20260824,boats,retain,catamaran,90.83333333333333,90.0,-0.8333333333333286,91.66666666666667,-1.6666666666666714
20260824,boats,retain,schooner,90.0,91.66666666666667,1.6666666666666714,86.66666666666667,5.0
20260824,balls,target,soccer ball,33.333333333333336,34.166666666666664,0.8333333333333286,22.5,11.666666666666664
20260824,balls,target,volleyball,7.5,11.666666666666666,4.166666666666666,9.166666666666666,2.5
20260824,balls,retain,tennis ball,20.0,18.333333333333332,-1.6666666666666679,21.666666666666668,-3.3333333333333357
20260824,balls,retain,rugby ball,25.833333333333332,29.166666666666668,3.3333333333333357,33.333333333333336,-4.166666666666668
20260824,balls,retain,ping-pong ball,34.166666666666664,35.0,0.8333333333333357,29.166666666666668,5.833333333333332
