variant,group,role,concept,sample_index,prompt,seed,prediction,correct,image_path,image_sha256,selection_basis
official,cats,retain,persian cat,1,an image of a persian cat,29048,matchstick,0,qualitative/images/official/cats/persian_cat/0001.png,e9c4a470ad900801f7de4f9402eb27af8a1cc00eac80d618ef16bac39fb27d33,predeclared concept and ordered sample index
official,fruits,target,orange,0,an image of a orange,95494,sea slug,0,qualitative/images/official/fruits/orange/0000.png,092f6122ef8fc43c6690b3c3312a7de97e6b889084dbf220e372904b3d4646c4,predeclared concept and ordered sample index
official,fruits,target,orange,1,an image of a orange,62506,comic book,0,qualitative/images/official/fruits/orange/0001.png,377ffb03c14bcb9ee96c33fd3451c7aeb68b9e9f57dd44354e8d7c4ecfc2413d,predeclared concept and ordered sample index
official,fruits,target,lemon,0,an image of a lemon,7212,manhole cover,0,qualitative/images/official/fruits/lemon/0000.png,89a9d4f407109e9525c5deaeb2a48c30a077f73118daf81e58de8cdae518c507,predeclared concept and ordered sample index
official,fruits,target,lemon,1,an image of a lemon,32445,coil,0,qualitative/images/official/fruits/lemon/0001.png,04c25e6cac5db914aea1d6b3ae2ad5e2be4c5ecd3cddd12b77dfc746c3e33a63,predeclared concept and ordered sample index
official,fruits,retain,pomegranate,0,an image of a pomegranate,85235,strawberry,0,qualitative/images/official/fruits/pomegranate/0000.png,82e2483e3aecde3b3607cba9fd994f242e6fbd5b36529497425f90b3cf76af5f,predeclared concept and ordered sample index
official,fruits,retain,pomegranate,1,an image of a pomegranate,37017,pomegranate,1,qualitative/images/official/fruits/pomegranate/0001.png,bf5a5906156565d1d33cffb1a81efc49932652574ade2ffde5bff519e38997db,predeclared concept and ordered sample index
official,boats,target,yawl,0,an image of a yawl,86507,sundial,0,qualitative/images/official/boats/yawl/0000.png,5487919fa682b15d13fb8542fdde8a019d6776fa4a43a52f8f7dbec03897bb0c,predeclared concept and ordered sample index
official,boats,target,yawl,1,an image of a yawl,1543,yawl,1,qualitative/images/official/boats/yawl/0001.png,4defbd8858e8680af3db85984d375bdedfd8545351d4b89e03571b9e7f34f618,predeclared concept and ordered sample index
official,boats,target,lifeboat,0,an image of a lifeboat,68591,canoe,0,qualitative/images/official/boats/lifeboat/0000.png,86b67a7111b9bd0b04f233bc92554848d59c15989237147b22b74799cea47150,predeclared concept and ordered sample index
official,boats,target,lifeboat,1,an image of a lifeboat,43950,dung beetle,0,qualitative/images/official/boats/lifeboat/0001.png,6eaa7489ba5cbba7a429c918899204fc339f18aa09a578ddcd46752d9f0ec0e2,predeclared concept and ordered sample index
official,boats,retain,speedboat,0,an image of a speedboat,22210,speedboat,1,qualitative/images/official/boats/speedboat/0000.png,1754f5ec67234343164023ecc673bf06798242812f0073de5933f4b4a00c9c3c,predeclared concept and ordered sample index
official,boats,retain,speedboat,1,an image of a speedboat,61008,speedboat,1,qualitative/images/official/boats/speedboat/0001.png,9a85cd1f605d6fca70790aaba0e63b2a5d85257b4d391fc62d187bf739c426d5,predeclared concept and ordered sample index
official,balls,target,soccer ball,0,an image of a soccer ball,75288,soccer ball,1,qualitative/images/official/balls/soccer_ball/0000.png,91b20edd2b6faa03ae81301a8ac7dcad3ea75c9fa65a3d96bde27f42bde3bbcd,predeclared concept and ordered sample index
official,balls,target,soccer ball,1,an image of a soccer ball,71892,soccer ball,1,qualitative/images/official/balls/soccer_ball/0001.png,fad8478fac2800c0245e8727f53384209924e7cf7226864415d172060723de00,predeclared concept and ordered sample index
official,balls,target,volleyball,0,an image of a volleyball,43455,stingray,0,qualitative/images/official/balls/volleyball/0000.png,29c7eccce79ee6074d82af6322850ac9f40f0044ae7e8819b8154440c698927b,predeclared concept and ordered sample index
official,balls,target,volleyball,1,an image of a volleyball,5733,balloon,0,qualitative/images/official/balls/volleyball/0001.png,efb7ace71c0f0b8b2892778643ac303d459ab734a3e886e82ef5001d1ad3b7ee,predeclared concept and ordered sample index
official,balls,retain,tennis ball,0,an image of a tennis ball,15742,ballplayer,0,qualitative/images/official/balls/tennis_ball/0000.png,aa0008294d1b971af1886da2986b83e1774f8f94b2e495c639211852af161449,predeclared concept and ordered sample index
official,balls,retain,tennis ball,1,an image of a tennis ball,91732,envelope,0,qualitative/images/official/balls/tennis_ball/0001.png,8ec4a85c610fb56d1b0fe98482b86fadd0a2fbde8692d1ca97366dbd0d59cac9,predeclared concept and ordered sample index
matched_retain,dogs,target,golden retriever,0,an image of a golden retriever,48273,labrador retriever,0,qualitative/images/matched_retain/dogs/golden_retriever/0000.png,2710370a28f1023ce0fe60b962ada194245b0828cba369261ed046c69d8ca263,predeclared concept and ordered sample index
matched_retain,dogs,target,golden retriever,1,an image of a golden retriever,51933,window screen,0,qualitative/images/matched_retain/dogs/golden_retriever/0001.png,8dfc60a55255d85e1acb22b3c00ee265f39052a78cbaa58916bed8bfc7de0a00,predeclared concept and ordered sample index
matched_retain,dogs,target,labrador retriever,0,an image of a labrador retriever,20114,german short-haired pointer,0,qualitative/images/matched_retain/dogs/labrador_retriever/0000.png,de9e0494b8dfcfd9718da1229bc6de99ed07304b6d567b64b3b5ac5f227f8729,predeclared concept and ordered sample index
matched_retain,dogs,target,labrador retriever,1,an image of a labrador retriever,55514,lakeside,0,qualitative/images/matched_retain/dogs/labrador_retriever/0001.png,07eb54b0f6b322642e5e2876d5f12c6fe9ad101e7c5349c7ce1777df5539bdf6,predeclared concept and ordered sample index
matched_retain,dogs,retain,german shepherd,0,an image of a german shepherd,87957,german shepherd,1,qualitative/images/matched_retain/dogs/german_shepherd/0000.png,bee7b74a0cc27bdd5de6090bd5517d6e78698d846ab5b4cbb0dfa340bd0f3c01,predeclared concept and ordered sample index
matched_retain,dogs,retain,german shepherd,1,an image of a german shepherd,96454,military uniform,0,qualitative/images/matched_retain/dogs/german_shepherd/0001.png,418935620b1991ef6075d40652b54ab8bc6751a28bf7fc16d6e051341bf8b22a,predeclared concept and ordered sample index
matched_retain,cats,target,tabby,0,an image of a tabby,20088,pillow,0,qualitative/images/matched_retain/cats/tabby/0000.png,671fbd649093219547678425fd71fe14d038601bd912a3d6f250f97ed5f460ed,predeclared concept and ordered sample index
matched_retain,cats,target,tabby,1,an image of a tabby,74361,mongoose,0,qualitative/images/matched_retain/cats/tabby/0001.png,e7f2a7ded86bc640056ee42a546aa37bb67419b7ff5f8e86e0455361da9eeea5,predeclared concept and ordered sample index
matched_retain,cats,target,tiger cat,0,an image of a tiger cat,85518,matchstick,0,qualitative/images/matched_retain/cats/tiger_cat/0000.png,e9c4a470ad900801f7de4f9402eb27af8a1cc00eac80d618ef16bac39fb27d33,predeclared concept and ordered sample index
matched_retain,cats,target,tiger cat,1,an image of a tiger cat,10629,cougar,0,qualitative/images/matched_retain/cats/tiger_cat/0001.png,75773a244ba7c4473e67a812519d60dcc784cb2c16fe2f99f2d3bebcac6248c6,predeclared concept and ordered sample index
matched_retain,cats,retain,persian cat,0,an image of a persian cat,63676,prayer rug,0,qualitative/images/matched_retain/cats/persian_cat/0000.png,ec5679adf746481e46feb6d4254485ec1b40b5c5e50bdb6395896f55daa64568,predeclared concept and ordered sample index
matched_retain,cats,retain,persian cat,1,an image of a persian cat,29048,bib,0,qualitative/images/matched_retain/cats/persian_cat/0001.png,5f492268b5ae0f1e1edc8a095f02dd6443ddd64b83eb2a20f5eb67eb4a73110f,predeclared concept and ordered sample index
matched_retain,fruits,target,orange,0,an image of a orange,95494,sea slug,0,qualitative/images/matched_retain/fruits/orange/0000.png,6210a8f78e2a027fadc6cd35dc4cb18040a5ec87d54c407cdbcd1a2396d59226,predeclared concept and ordered sample index
matched_retain,fruits,target,orange,1,an image of a orange,62506,military uniform,0,qualitative/images/matched_retain/fruits/orange/0001.png,2e2b4d647a6c3b833a1695fec0c44c81fa613009fbe7a19480d00d0670252c79,predeclared concept and ordered sample index
matched_retain,fruits,target,lemon,0,an image of a lemon,7212,matchstick,0,qualitative/images/matched_retain/fruits/lemon/0000.png,e9c4a470ad900801f7de4f9402eb27af8a1cc00eac80d618ef16bac39fb27d33,predeclared concept and ordered sample index
matched_retain,fruits,target,lemon,1,an image of a lemon,32445,rapeseed,0,qualitative/images/matched_retain/fruits/lemon/0001.png,7693ae949ff1819841dd10d1620756fec2b8875add77514feeaa0dd4b0aaff58,predeclared concept and ordered sample index
matched_retain,fruits,retain,pomegranate,0,an image of a pomegranate,85235,strawberry,0,qualitative/images/matched_retain/fruits/pomegranate/0000.png,9f0bbbe830bec82cd303955f85959d2453b35160e5a2343d4b9cf35874a4d715,predeclared concept and ordered sample index
matched_retain,fruits,retain,pomegranate,1,an image of a pomegranate,37017,hip,0,qualitative/images/matched_retain/fruits/pomegranate/0001.png,e2ec3a976e6dfd975d7299ed8aeacb0751162b81157e5fc05a1bf5017cfa3b3c,predeclared concept and ordered sample index
matched_retain,boats,target,yawl,0,an image of a yawl,86507,yawl,1,qualitative/images/matched_retain/boats/yawl/0000.png,ec01d5ab66181398848ad406d4e6066502a2ab01e3572c073cbba14e69d652b8,predeclared concept and ordered sample index
matched_retain,boats,target,yawl,1,an image of a yawl,1543,yawl,1,qualitative/images/matched_retain/boats/yawl/0001.png,af489cb3a64fe0990557c26d5db18fb5a7ce707da8a85a235ffbe88e70d741cc,predeclared concept and ordered sample index
matched_retain,boats,target,lifeboat,0,an image of a lifeboat,68591,plane,0,qualitative/images/matched_retain/boats/lifeboat/0000.png,0a14650444b4e0aa1d74e6f5af96d2dfe2c41e5b390125a6f242063fca5d44ce,predeclared concept and ordered sample index
matched_retain,boats,target,lifeboat,1,an image of a lifeboat,43950,stingray,0,qualitative/images/matched_retain/boats/lifeboat/0001.png,3a435828b86591cddaed8a28948edc4a1e05456e2648a48b01cb7d2c03689f1d,predeclared concept and ordered sample index
matched_retain,boats,retain,speedboat,0,an image of a speedboat,22210,speedboat,1,qualitative/images/matched_retain/boats/speedboat/0000.png,6f3f945ce8981f5086e6874ecba80ff7cf8862e608f09e2682b76e2a5f970e41,predeclared concept and ordered sample index
matched_retain,boats,retain,speedboat,1,an image of a speedboat,61008,speedboat,1,qualitative/images/matched_retain/boats/speedboat/0001.png,60a54c66c62729c06b713d910fa915e691cc879e22b8f0a9ad5b2f6387dca540,predeclared concept and ordered sample index
matched_retain,balls,target,soccer ball,0,an image of a soccer ball,75288,poncho,0,qualitative/images/matched_retain/balls/soccer_ball/0000.png,c48a29af54fef4df941145ccf6c7f393dfdbd6cdd464ad8f1dff4daebfa78c25,predeclared concept and ordered sample index
matched_retain,balls,target,soccer ball,1,an image of a soccer ball,71892,soccer ball,1,qualitative/images/matched_retain/balls/soccer_ball/0001.png,100ed9626f198bf3aa4c3459536831b106899bbaf09256daad24a2e0fb147ffb,predeclared concept and ordered sample index
matched_retain,balls,target,volleyball,0,an image of a volleyball,43455,doormat,0,qualitative/images/matched_retain/balls/volleyball/0000.png,eb866d9a0d4dc6beb633d256fdf6859643ecfda9715994810495ae081bf64995,predeclared concept and ordered sample index
matched_retain,balls,target,volleyball,1,an image of a volleyball,5733,seashore,0,qualitative/images/matched_retain/balls/volleyball/0001.png,211b90cb664844beee7b6a8176f0778a2ea014ea6e9d25fe20b5a200f5b7725f,predeclared concept and ordered sample index
matched_retain,balls,retain,tennis ball,0,an image of a tennis ball,15742,ballplayer,0,qualitative/images/matched_retain/balls/tennis_ball/0000.png,fd6ad613f53d11eb05e921b3efa3e4c621aa288e34ed67b14400df394d9dcb4b,predeclared concept and ordered sample index
matched_retain,balls,retain,tennis ball,1,an image of a tennis ball,91732,envelope,0,qualitative/images/matched_retain/balls/tennis_ball/0001.png,e3b1679fda4de1d42ee60340a1044511efd83ec6807a942b372eaf94d86d17a2,predeclared concept and ordered sample index
superclass_neutral,dogs,target,golden retriever,0,an image of a golden retriever,48273,labrador retriever,0,qualitative/images/superclass_neutral/dogs/golden_retriever/0000.png,bfe65ee6118c29d01d73d07a4244a34b9efa1bc664e848cf815df20612a9326d,predeclared concept and ordered sample index
superclass_neutral,dogs,target,golden retriever,1,an image of a golden retriever,51933,doormat,0,qualitative/images/superclass_neutral/dogs/golden_retriever/0001.png,0bbe626b1e9036e684cc94505f245b4f86d80f78134844ea30c373276f90c942,predeclared concept and ordered sample index
superclass_neutral,dogs,target,labrador retriever,0,an image of a labrador retriever,20114,german short-haired pointer,0,qualitative/images/superclass_neutral/dogs/labrador_retriever/0000.png,3637ec36a1979045101b6524a4a3cced9b18c869aefce81984ec5f75f5e16140,predeclared concept and ordered sample index
superclass_neutral,dogs,target,labrador retriever,1,an image of a labrador retriever,55514,paddle,0,qualitative/images/superclass_neutral/dogs/labrador_retriever/0001.png,e0632c4cf362ceb3f18a7044fa15c94252a9aa2c0f19fed59059ba3fb3a83032,predeclared concept and ordered sample index
superclass_neutral,dogs,retain,german shepherd,0,an image of a german shepherd,87957,german shepherd,1,qualitative/images/superclass_neutral/dogs/german_shepherd/0000.png,4e0568abe4c04d3f97263a8b75badb3c41a00c7b7112f79578d313bd542b2f41,predeclared concept and ordered sample index
superclass_neutral,dogs,retain,german shepherd,1,an image of a german shepherd,96454,pickelhaube,0,qualitative/images/superclass_neutral/dogs/german_shepherd/0001.png,63514060f16de3a5f21c7e349af1858b3dadb8f1cc493c55b10ea1475a4a7ce9,predeclared concept and ordered sample index
superclass_neutral,cats,target,tabby,0,an image of a tabby,20088,ski mask,0,qualitative/images/superclass_neutral/cats/tabby/0000.png,3fb83168623d495509e76a29e2d9f9c0456d726d988749500360e1b55e9b019b,predeclared concept and ordered sample index
superclass_neutral,cats,target,tabby,1,an image of a tabby,74361,mongoose,0,qualitative/images/superclass_neutral/cats/tabby/0001.png,f880a850946f253be643a4231a3b84c21f19afd45ca21b8e673ea9ecf03beb80,predeclared concept and ordered sample index
superclass_neutral,cats,target,tiger cat,0,an image of a tiger cat,85518,matchstick,0,qualitative/images/superclass_neutral/cats/tiger_cat/0000.png,e9c4a470ad900801f7de4f9402eb27af8a1cc00eac80d618ef16bac39fb27d33,predeclared concept and ordered sample index
superclass_neutral,cats,target,tiger cat,1,an image of a tiger cat,10629,egyptian cat,0,qualitative/images/superclass_neutral/cats/tiger_cat/0001.png,0279d2263521992e6ace318084de1a1e3f450b5767e35655a5c2ff86dd97cc1f,predeclared concept and ordered sample index
superclass_neutral,cats,retain,persian cat,0,an image of a persian cat,63676,prayer rug,0,qualitative/images/superclass_neutral/cats/persian_cat/0000.png,7f4db05d8cac12264365cca5c3fc8e17b1f1377b36cd75bffab4da68354188a9,predeclared concept and ordered sample index
superclass_neutral,cats,retain,persian cat,1,an image of a persian cat,29048,matchstick,0,qualitative/images/superclass_neutral/cats/persian_cat/0001.png,e9c4a470ad900801f7de4f9402eb27af8a1cc00eac80d618ef16bac39fb27d33,predeclared concept and ordered sample index
superclass_neutral,fruits,target,orange,0,an image of a orange,95494,sea slug,0,qualitative/images/superclass_neutral/fruits/orange/0000.png,ff01ddf03f7618be7591550cf1bb1954883c903aaacf951528d8a69e7e219971,predeclared concept and ordered sample index
superclass_neutral,fruits,target,orange,1,an image of a orange,62506,bib,0,qualitative/images/superclass_neutral/fruits/orange/0001.png,084d91ae5bfb99aa90fdba46e713e41d8f0d080538781947f37da6a9fb13a88d,predeclared concept and ordered sample index
superclass_neutral,fruits,target,lemon,0,an image of a lemon,7212,matchstick,0,qualitative/images/superclass_neutral/fruits/lemon/0000.png,e9c4a470ad900801f7de4f9402eb27af8a1cc00eac80d618ef16bac39fb27d33,predeclared concept and ordered sample index
superclass_neutral,fruits,target,lemon,1,an image of a lemon,32445,coil,0,qualitative/images/superclass_neutral/fruits/lemon/0001.png,cbd897ad052612f02f7ade6791a319d08f65c81478f0f35e95da6b6a2b14e973,predeclared concept and ordered sample index
superclass_neutral,fruits,retain,pomegranate,0,an image of a pomegranate,85235,strawberry,0,qualitative/images/superclass_neutral/fruits/pomegranate/0000.png,3e7402deee38b2af8478a40bfe93e55377cf9ac285facb520280475159c3b0ad,predeclared concept and ordered sample index
superclass_neutral,fruits,retain,pomegranate,1,an image of a pomegranate,37017,pomegranate,1,qualitative/images/superclass_neutral/fruits/pomegranate/0001.png,faee3dc9ef7a07947cdcefa16530300cd7866ce5d03094d38b6b244554f95840,predeclared concept and ordered sample index
superclass_neutral,boats,target,yawl,0,an image of a yawl,86507,yawl,1,qualitative/images/superclass_neutral/boats/yawl/0000.png,861e004b7e8ecf5fc4c106aa106ce2e469a6440e4a2902f244922828478f24da,predeclared concept and ordered sample index
superclass_neutral,boats,target,yawl,1,an image of a yawl,1543,yawl,1,qualitative/images/superclass_neutral/boats/yawl/0001.png,9c4d2fea42a4c5ad4366c3a43d0f3af7d7a4767e446e52cc18204e5e187d976d,predeclared concept and ordered sample index
superclass_neutral,boats,target,lifeboat,0,an image of a lifeboat,68591,canoe,0,qualitative/images/superclass_neutral/boats/lifeboat/0000.png,3f39e573bee4ed8f71aced054e6ecaccf27247b7f0fbb801f4b00e91086819a1,predeclared concept and ordered sample index
superclass_neutral,boats,target,lifeboat,1,an image of a lifeboat,43950,dung beetle,0,qualitative/images/superclass_neutral/boats/lifeboat/0001.png,a0591318d7e311ca983e377cf087606e2e01226ee24173592dc6e8142aeaadb8,predeclared concept and ordered sample index
superclass_neutral,boats,retain,speedboat,0,an image of a speedboat,22210,speedboat,1,qualitative/images/superclass_neutral/boats/speedboat/0000.png,4e969cb84aca582f554bb480cdbef7f0b510e198ed19d984e35f117288df49fc,predeclared concept and ordered sample index
superclass_neutral,boats,retain,speedboat,1,an image of a speedboat,61008,speedboat,1,qualitative/images/superclass_neutral/boats/speedboat/0001.png,343c214f8a6a8f5adc92758efe9dcf326e779b0d5a2b28c6f9e428987b780f41,predeclared concept and ordered sample index
superclass_neutral,balls,target,soccer ball,0,an image of a soccer ball,75288,vase,0,qualitative/images/superclass_neutral/balls/soccer_ball/0000.png,29837a60345b92f50a88ee7ab47730fd595b42e514be74bd5b94edd56c8a58ed,predeclared concept and ordered sample index
superclass_neutral,balls,target,soccer ball,1,an image of a soccer ball,71892,soccer ball,1,qualitative/images/superclass_neutral/balls/soccer_ball/0001.png,ae6dc93414fa3737afebbf854194d3e1406a58dcfb51b5a577755d9ca731c27d,predeclared concept and ordered sample index
superclass_neutral,balls,target,volleyball,0,an image of a volleyball,43455,sandbar,0,qualitative/images/superclass_neutral/balls/volleyball/0000.png,5d9cfe0c636a9372fffb6f65c9af1119f31233e3b3d157f278aae0ee65d20481,predeclared concept and ordered sample index
superclass_neutral,balls,target,volleyball,1,an image of a volleyball,5733,balloon,0,qualitative/images/superclass_neutral/balls/volleyball/0001.png,e98b3125960819d4c008a2b9da22066def505c326b66ec5856988e54fb785b10,predeclared concept and ordered sample index
superclass_neutral,balls,retain,tennis ball,0,an image of a tennis ball,15742,ballplayer,0,qualitative/images/superclass_neutral/balls/tennis_ball/0000.png,9d88520cda8ede7cecbc6296eb1be752da17745bfa25a6b2e41c7cdb045cd9cd,predeclared concept and ordered sample index
superclass_neutral,balls,retain,tennis ball,1,an image of a tennis ball,91732,racket,0,qualitative/images/superclass_neutral/balls/tennis_ball/0001.png,53cf354b528d087208d1a12cd8f2331079ab0d15675184e4b501eaadc0c6146c,predeclared concept and ordered sample index
