order,step,within_batch,sequence_position,concept
order_b,8,10,80,Channing Tatum
order_b,9,1,81,Cameron Diaz
order_b,9,2,82,Bryan Cranston
order_b,9,3,83,Bruce Willis
order_b,9,4,84,Bradley Cooper
order_b,9,5,85,Bob Marley
order_b,9,6,86,Bob Dylan
order_b,9,7,87,Bill Clinton
order_b,9,8,88,Beth Behrs
order_b,9,9,89,Barack Obama
order_b,9,10,90,Arnold Schwarzenegger
order_b,10,1,91,Anne Hathaway
order_b,10,2,92,Anna Kendrick
order_b,10,3,93,Anna Faris
order_b,10,4,94,Anjelica Huston
order_b,10,5,95,Angelina Jolie
order_b,10,6,96,Andrew Garfield
order_b,10,7,97,Amy Adams
order_b,10,8,98,Amber Heard
order_b,10,9,99,Adriana Lima
order_b,10,10,100,Adam Driver
