edit_seed,group,role,concept,official_accuracy,projection_accumulation_accuracy,delta_accuracy,favorable
20260824,cats,retain,persian cat,20.833333333333332,20.833333333333332,0.0,False
20260820,cats,retain,siamese cat,38.333333333333336,58.333333333333336,20.0,True
20260821,cats,retain,siamese cat,35.833333333333336,56.666666666666664,20.83333333333333,True
20260822,cats,retain,siamese cat,35.0,55.0,20.0,True
20260823,cats,retain,siamese cat,36.666666666666664,60.833333333333336,24.16666666666667,True
20260824,cats,retain,siamese cat,36.666666666666664,56.666666666666664,20.0,True
20260820,cats,retain,egyptian cat,0.8333333333333334,0.0,-0.8333333333333334,False
20260821,cats,retain,egyptian cat,0.0,0.8333333333333334,0.8333333333333334,True
20260822,cats,retain,egyptian cat,0.0,0.8333333333333334,0.8333333333333334,True
20260823,cats,retain,egyptian cat,0.0,0.0,0.0,False
20260824,cats,retain,egyptian cat,0.0,0.8333333333333334,0.8333333333333334,True
20260820,fruits,target,orange,8.333333333333334,0.8333333333333334,-7.500000000000001,True
20260821,fruits,target,orange,7.5,2.5,-5.0,True
20260822,fruits,target,orange,9.166666666666666,1.6666666666666667,-7.499999999999999,True
20260823,fruits,target,orange,6.666666666666667,0.8333333333333334,-5.833333333333334,True
20260824,fruits,target,orange,7.5,0.8333333333333334,-6.666666666666667,True
20260820,fruits,target,lemon,11.666666666666666,17.5,5.833333333333334,False
20260821,fruits,target,lemon,10.833333333333334,14.166666666666666,3.333333333333332,False
20260822,fruits,target,lemon,11.666666666666666,15.833333333333334,4.166666666666668,False
20260823,fruits,target,lemon,10.0,15.833333333333334,5.833333333333334,False
20260824,fruits,target,lemon,10.0,15.833333333333334,5.833333333333334,False
20260820,fruits,retain,pomegranate,17.5,30.833333333333332,13.333333333333332,True
20260821,fruits,retain,pomegranate,18.333333333333332,30.0,11.666666666666668,True
20260822,fruits,retain,pomegranate,19.166666666666668,26.666666666666668,7.5,True
20260823,fruits,retain,pomegranate,16.666666666666668,30.833333333333332,14.166666666666664,True
20260824,fruits,retain,pomegranate,16.666666666666668,28.333333333333332,11.666666666666664,True
20260820,fruits,retain,fig,15.0,21.666666666666668,6.666666666666668,True
20260821,fruits,retain,fig,15.0,18.333333333333332,3.333333333333332,True
20260822,fruits,retain,fig,15.0,21.666666666666668,6.666666666666668,True
20260823,fruits,retain,fig,15.0,22.5,7.5,True
20260824,fruits,retain,fig,15.0,22.5,7.5,True
20260820,fruits,retain,granny smith,23.333333333333332,23.333333333333332,0.0,False
20260821,fruits,retain,granny smith,20.0,25.0,5.0,True
20260822,fruits,retain,granny smith,20.833333333333332,26.666666666666668,5.833333333333336,True
20260823,fruits,retain,granny smith,18.333333333333332,22.5,4.166666666666668,True
20260824,fruits,retain,granny smith,20.833333333333332,23.333333333333332,2.5,True
20260820,boats,target,yawl,36.666666666666664,31.666666666666668,-4.9999999999999964,True
20260821,boats,target,yawl,35.0,30.0,-5.0,True
20260822,boats,target,yawl,39.166666666666664,30.833333333333332,-8.333333333333332,True
20260823,boats,target,yawl,35.0,30.0,-5.0,True
20260824,boats,target,yawl,39.166666666666664,30.833333333333332,-8.333333333333332,True
20260820,boats,target,lifeboat,5.0,6.666666666666667,1.666666666666667,False
20260821,boats,target,lifeboat,5.833333333333333,5.833333333333333,0.0,False
20260822,boats,target,lifeboat,5.0,6.666666666666667,1.666666666666667,False
20260823,boats,target,lifeboat,3.3333333333333335,8.333333333333334,5.0,False
20260824,boats,target,lifeboat,5.0,7.5,2.5,False
20260820,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,False
20260821,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,False
20260822,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,False
20260823,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,False
20260824,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,False
20260820,boats,retain,catamaran,88.33333333333333,85.83333333333333,-2.5,False
20260821,boats,retain,catamaran,89.16666666666667,85.83333333333333,-3.333333333333343,False
20260822,boats,retain,catamaran,88.33333333333333,88.33333333333333,0.0,False
20260823,boats,retain,catamaran,92.5,85.0,-7.5,False
20260824,boats,retain,catamaran,90.83333333333333,85.83333333333333,-5.0,False
20260820,boats,retain,schooner,89.16666666666667,93.33333333333333,4.166666666666657,True
20260821,boats,retain,schooner,89.16666666666667,90.83333333333333,1.6666666666666572,True
20260822,boats,retain,schooner,90.83333333333333,90.83333333333333,0.0,False
20260823,boats,retain,schooner,90.83333333333333,92.5,1.6666666666666714,True
20260824,boats,retain,schooner,90.0,93.33333333333333,3.3333333333333286,True
20260820,balls,target,soccer ball,36.666666666666664,12.5,-24.166666666666664,True
20260821,balls,target,soccer ball,36.666666666666664,10.833333333333334,-25.83333333333333,True
20260822,balls,target,soccer ball,34.166666666666664,9.166666666666666,-25.0,True
20260823,balls,target,soccer ball,35.0,10.833333333333334,-24.166666666666664,True
20260824,balls,target,soccer ball,33.333333333333336,10.833333333333334,-22.5,True
20260820,balls,target,volleyball,10.0,0.8333333333333334,-9.166666666666666,True
20260821,balls,target,volleyball,10.833333333333334,1.6666666666666667,-9.166666666666668,True
20260822,balls,target,volleyball,10.833333333333334,1.6666666666666667,-9.166666666666668,True
20260823,balls,target,volleyball,11.666666666666666,1.6666666666666667,-10.0,True
20260824,balls,target,volleyball,7.5,1.6666666666666667,-5.833333333333333,True
20260820,balls,retain,tennis ball,19.166666666666668,20.0,0.8333333333333321,True
20260821,balls,retain,tennis ball,17.5,20.0,2.5,True
20260822,balls,retain,tennis ball,16.666666666666668,20.0,3.333333333333332,True
20260823,balls,retain,tennis ball,19.166666666666668,22.5,3.333333333333332,True
20260824,balls,retain,tennis ball,20.0,19.166666666666668,-0.8333333333333321,False
20260820,balls,retain,rugby ball,27.5,35.833333333333336,8.333333333333336,True
20260821,balls,retain,rugby ball,31.666666666666668,37.5,5.833333333333332,True
20260822,balls,retain,rugby ball,27.5,36.666666666666664,9.166666666666664,True
20260823,balls,retain,rugby ball,31.666666666666668,35.833333333333336,4.166666666666668,True
20260824,balls,retain,rugby ball,25.833333333333332,36.666666666666664,10.833333333333332,True
20260820,balls,retain,ping-pong ball,34.166666666666664,25.0,-9.166666666666664,False
20260821,balls,retain,ping-pong ball,35.833333333333336,25.833333333333332,-10.000000000000004,False
20260822,balls,retain,ping-pong ball,34.166666666666664,24.166666666666668,-9.999999999999996,False
20260823,balls,retain,ping-pong ball,33.333333333333336,22.5,-10.833333333333336,False
20260824,balls,retain,ping-pong ball,34.166666666666664,28.333333333333332,-5.833333333333332,False
mean,dogs,target,golden retriever,12.833333333333334,14.166666666666666,1.3333333333333333,0
mean,dogs,target,labrador retriever,19.166666666666668,21.166666666666668,2.0,0
mean,dogs,retain,german shepherd,46.0,73.0,27.0,5
mean,dogs,retain,chesapeake bay retriever,9.0,7.5,-1.5,1
mean,dogs,retain,pug,82.5,94.33333333333333,11.833333333333334,5
mean,cats,target,tabby,11.666666666666666,11.833333333333334,0.16666666666666644,2
mean,cats,target,tiger cat,43.166666666666664,83.33333333333333,40.166666666666664,0
mean,cats,retain,persian cat,19.5,21.333333333333332,1.8333333333333335,4
mean,cats,retain,siamese cat,36.5,57.5,21.0,5
mean,cats,retain,egyptian cat,0.16666666666666669,0.5,0.33333333333333337,3
mean,fruits,target,orange,7.833333333333333,1.3333333333333335,-6.5,5
mean,fruits,target,lemon,10.833333333333334,15.833333333333334,5.0,0
mean,fruits,retain,pomegranate,17.666666666666668,29.333333333333332,11.666666666666666,5
mean,fruits,retain,fig,15.0,21.333333333333332,6.333333333333334,5
mean,fruits,retain,granny smith,20.666666666666664,24.166666666666668,3.500000000000001,4
mean,boats,target,yawl,37.0,30.666666666666668,-6.333333333333332,5
mean,boats,target,lifeboat,4.833333333333333,7.0,2.166666666666667,0
mean,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,0
mean,boats,retain,catamaran,89.83333333333333,86.16666666666666,-3.6666666666666687,0
mean,boats,retain,schooner,90.0,92.16666666666666,2.166666666666663,4
mean,balls,target,soccer ball,35.166666666666664,10.833333333333334,-24.333333333333332,5
mean,balls,target,volleyball,10.166666666666666,1.5,-8.666666666666668,5
mean,balls,retain,tennis ball,18.5,20.333333333333332,1.8333333333333328,4
mean,balls,retain,rugby ball,28.833333333333332,36.5,7.666666666666666,5
mean,balls,retain,ping-pong ball,34.333333333333336,25.166666666666668,-9.166666666666666,0
