layer_index,layer,out_dim,in_dim,objective,reflection_detected,reflection_correction,orthogonality_error,weight_gram_relative_error,method,checkpoint,checkpoint_sha256
13,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.444870566861937e-06,6.65247644064948e-05,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
14,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.794949629489565e-06,6.071834286558442e-05,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
15,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.990077170281438e-06,7.653155626030639e-05,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
16,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.2308360965107568e-05,0.00032625719904899597,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.894173682463588e-06,8.694735879544169e-05,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,320,768,vector,True,upstream,5.327618964656722e-06,6.353837670758367e-05,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.547081390337553e-06,0.00017723256314639002,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.74864360614447e-06,0.00015753165644127876,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
5,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.3140235751052387e-05,0.0003401794529054314,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
6,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,vector,False,upstream,1.289415104110958e-05,0.0003457771963439882,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
7,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,False,upstream,1.3822786968376022e-05,0.00037142023211345077,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,vector,False,upstream,1.2786343177140225e-05,0.0003121782501693815,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
9,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,1280,768,vector,False,upstream,1.326061010331614e-05,0.00036628940142691135,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
10,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.691786544863135e-06,0.00019415678980294615,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
11,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.222016160492785e-06,0.00017561325512360781,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
12,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.312650036008563e-06,0.00017033949552569538,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
13,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.702827820641687e-06,6.359405961120501e-05,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
14,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,320,768,vector,True,upstream,5.890542070119409e-06,7.014438597252592e-05,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
15,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,320,768,vector,True,upstream,5.582645371760009e-06,5.733638317906298e-05,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
16,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.3637176380143501e-05,0.00037168810376897454,single_vector_airplane_to_sky,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_airplane_to_sky.safetensors,cf4080a94b8f634e1f9d1676a7aca5fe9dc96c0b658bf1d0b3691bd8f2312a10
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.8624741541279946e-06,9.037081326823682e-05,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.707079708372476e-06,5.6064131058519706e-05,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,640,768,vector,True,upstream,9.530496754450724e-06,0.00017838127678260207,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,640,768,vector,True,upstream,9.752175174071454e-06,0.00015065282059367746,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
5,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.3109194696880877e-05,0.00034204075927846134,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
6,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.2811547094315756e-05,0.00032329451641999185,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
7,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.2889695426565595e-05,0.000337042729370296,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,vector,False,upstream,1.2251472981006373e-05,0.0002948260516859591,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
9,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,1280,768,vector,False,upstream,1.3322444829100277e-05,0.00037687146686948836,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
10,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.386033525515813e-06,0.00018928949430119246,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
11,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.791036973183509e-06,0.00018759431259240955,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
12,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,640,768,vector,True,upstream,9.730062629387248e-06,0.00018498022109270096,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
13,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,320,768,vector,True,upstream,5.757825420005247e-06,4.708468622993678e-05,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
14,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.686971690010978e-06,6.142445636214688e-05,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
15,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,320,768,vector,True,upstream,5.733028501708759e-06,6.860381836304441e-05,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
16,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.2885105206805747e-05,0.0003420734137762338,single_vector_church_to_building,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_church_to_building.safetensors,009b55d3944cb30d6f9a86d9ef594cc68d13b163673f027ce1400e363caeffba
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.85889119975036e-06,8.352356235263869e-05,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.811533355881693e-06,6.341385596897453e-05,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.617340765544213e-06,0.00018294159963261336,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.930857231665868e-06,0.00018005106539931148,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
5,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,False,upstream,1.3098687304591294e-05,0.0003558126336429268,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
6,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.3170368220016826e-05,0.0003568350221030414,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
7,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.3359315744310152e-05,0.0003633777378126979,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,vector,False,upstream,1.3242618479125667e-05,0.00033369867014698684,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
9,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.3928712178312708e-05,0.0003944980853702873,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
10,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.528906048217323e-06,0.00019724569574464113,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
11,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.318399861513171e-06,0.00017578693223185837,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
12,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,640,768,vector,True,upstream,9.693801075627562e-06,0.00019204615091439337,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
13,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.832124770677183e-06,5.4688742238795385e-05,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
14,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.691546903108247e-06,5.282200436340645e-05,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
15,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,320,768,vector,True,upstream,5.848760793014662e-06,7.153519982239231e-05,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
16,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.2902295566163957e-05,0.00035309925442561507,single_vector_golf_ball_to_tennis_ball,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_golf_ball_to_tennis_ball.safetensors,a724b9a9eb4f709eeaeaedcc0c3926cc9bcbb1b9b91c42d0373fb373203e3acc
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.83231303608045e-06,8.754545706324279e-05,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
