edit_seed,group,role,concept,official_accuracy,projection_accumulation_budget_matched_cos2_accuracy,delta_accuracy,favorable
20260820,balls,retain,rugby ball,27.5,28.333333333333332,0.8333333333333321,True
20260821,balls,retain,rugby ball,31.666666666666668,31.666666666666668,0.0,False
20260822,balls,retain,rugby ball,27.5,28.333333333333332,0.8333333333333321,True
20260823,balls,retain,rugby ball,31.666666666666668,32.5,0.8333333333333321,True
20260824,balls,retain,rugby ball,25.833333333333332,30.0,4.166666666666668,True
20260820,balls,retain,ping-pong ball,34.166666666666664,32.5,-1.6666666666666643,False
20260821,balls,retain,ping-pong ball,35.833333333333336,35.0,-0.8333333333333357,False
20260822,balls,retain,ping-pong ball,34.166666666666664,35.833333333333336,1.6666666666666714,True
20260823,balls,retain,ping-pong ball,33.333333333333336,31.666666666666668,-1.6666666666666679,False
20260824,balls,retain,ping-pong ball,34.166666666666664,33.333333333333336,-0.8333333333333286,False
mean,dogs,target,golden retriever,12.833333333333334,13.5,0.6666666666666664,2
mean,dogs,target,labrador retriever,19.166666666666668,19.833333333333332,0.6666666666666657,1
mean,dogs,retain,german shepherd,46.0,46.0,0.0,2
mean,dogs,retain,chesapeake bay retriever,9.0,10.5,1.4999999999999996,4
mean,dogs,retain,pug,82.5,82.33333333333333,-0.16666666666666857,2
mean,cats,target,tabby,11.666666666666666,11.833333333333334,0.16666666666666644,2
mean,cats,target,tiger cat,43.166666666666664,43.333333333333336,0.16666666666666713,1
mean,cats,retain,persian cat,19.5,19.333333333333332,-0.16666666666666644,1
mean,cats,retain,siamese cat,36.5,38.166666666666664,1.6666666666666672,4
mean,cats,retain,egyptian cat,0.16666666666666669,0.16666666666666669,0.0,1
mean,fruits,target,orange,7.833333333333333,7.333333333333334,-0.49999999999999983,3
mean,fruits,target,lemon,10.833333333333334,11.166666666666666,0.3333333333333336,1
mean,fruits,retain,pomegranate,17.666666666666668,17.666666666666668,0.0,2
mean,fruits,retain,fig,15.0,16.666666666666668,1.6666666666666667,4
mean,fruits,retain,granny smith,20.666666666666664,19.833333333333332,-0.8333333333333321,2
mean,boats,target,yawl,37.0,36.33333333333333,-0.6666666666666672,3
mean,boats,target,lifeboat,4.833333333333333,4.0,-0.833333333333333,4
mean,boats,retain,speedboat,98.33333333333333,98.16666666666666,-0.1666666666666657,0
mean,boats,retain,catamaran,89.83333333333333,89.83333333333333,2.842170943040401e-15,2
mean,boats,retain,schooner,90.0,89.66666666666667,-0.33333333333333426,2
mean,balls,target,soccer ball,35.166666666666664,35.166666666666664,0.0,2
mean,balls,target,volleyball,10.166666666666666,11.166666666666666,1.0,0
mean,balls,retain,tennis ball,18.5,18.666666666666668,0.16666666666666644,1
mean,balls,retain,rugby ball,28.833333333333332,30.166666666666668,1.3333333333333328,4
mean,balls,retain,ping-pong ball,34.333333333333336,33.66666666666667,-0.666666666666665,1
